dataset,source,source_file,version_year,record_type,name,收稿方向,abbreviation,issn,eissn,issn_eissn,publisher,url,area,area_en,level,sequence,impact_factor,wos_index,top,source_page,notes,cas_review,cas_oa_journal_index,cas_open_access,cas_label,cas_major_area,cas_major_partition,cas_major_rank,cas_subject_1,cas_subject_partition_1,cas_subject_rank_1,cas_subject_2,cas_subject_partition_2,cas_subject_rank_2,cas_subject_3,cas_subject_partition_3,cas_subject_rank_3,cas_subject_4,cas_subject_partition_4,cas_subject_rank_4,cas_subject_5,cas_subject_partition_5,cas_subject_rank_5,cas_subject_6,cas_subject_partition_6,cas_subject_rank_6,jcr_category_1,jcr_quartile_1,jcr_rank_1,jcr_category_2,jcr_quartile_2,jcr_rank_2,jcr_category_3,jcr_quartile_3,jcr_rank_3,jcr_category_4,jcr_quartile_4,jcr_rank_4,jcr_category_5,jcr_quartile_5,jcr_rank_5,jcr_category_6,jcr_quartile_6,jcr_rank_6,收稿方向_官网摘取,收稿方向_来源URL,收稿方向_证据,收稿方向_置信度,收稿方向_状态,收稿方向_更新时间
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Theory of Cryptography Conference,网络与信息安全；Network and Information Security,TCC,,,,,,网络与信息安全,Network and Information Security,B,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:30+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Workshop on Practice and Theory in Public Key Cryptography,网络与信息安全；Network and Information Security,PKC,,,,,,网络与信息安全,Network and Information Security,B,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:33+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Detection of Intrusions and Malware & Vulnerability Assessment,网络与信息安全；Network and Information Security,DIMVA,,,,,,网络与信息安全,Network and Information Security,B,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:38+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE Computer Security Foundations Workshop,网络与信息安全；Network and Information Security,CSFW,,,,,,网络与信息安全,Network and Information Security,B,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:42+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Fast Software Encryption,网络与信息安全；Network and Information Security,FSE,,,,,,网络与信息安全,Network and Information Security,B,8,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:46+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,European Symposium on Research in Computer Security,网络与信息安全；Network and Information Security,ESORICS,,,,,,网络与信息安全,Network and Information Security,B,9,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,该会议涵盖计算机安全领域的各个方面，包括但不限于安全协议、网络安全、密码学、系统安全、隐私保护等，每年接收大量论文并出版多卷论文集。；关键词：计算机安全；网络安全；密码学；系统安全；隐私保护；安全协议,https://link.springer.com/conference/esorics,Computer Security – ESORICS 2025 100 Papers 4 Volumes,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,The International Conference on Dependable Systems and Networks,网络与信息安全；Network and Information Security,DSN,,,,,,网络与信息安全,Network and Information Security,B,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:50+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on Recent Advances in Intrusion Detection,网络与信息安全；Network and Information Security,RAID,,,,,,网络与信息安全,Network and Information Security,B,11,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:21:57+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IFIP/IEEE International Symposium on Integrated Network Management,网络与信息安全；Network and Information Security,IM,,,,,,网络与信息安全,Network and Information Security,B,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:22:00+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Cryptographer's Track at RSA Conference,网络与信息安全；Network and Information Security,CT-RSA,,,,,,网络与信息安全,Network and Information Security,B,13,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:22:07+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Annual Computer Security Applications Conference,网络与信息安全；Network and Information Security,ACSAC,,,,,,网络与信息安全,Network and Information Security,B,14,,,,6,superseded: TH-CPL 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACSAC征稿涵盖应用安全的各个方面，特别鼓励提交关于提高信息系统安全性的实用成果、系统实施经验及经验教训的论文，主题包括但不限于网络安全、软件安全、工业控制系统安全、机器学习与智能网络安全等。；关键词：应用安全；信息系统安全；网络安全；软件安全；工业控制系统安全；机器学习安全；逆向工程；取证分析,https://www.acsac.org/2019/submissions/papers/,已废止自动候选：TH-CPL 2019 历史征稿页，已由当前年度范围取代。 We solicit papers offering novel contributions in any aspect of applied security.,low,superseded,2026-07-30T12:22:25+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Passive and Active Network Measurement Conference,网络与信息安全；Network and Information Security,PAM,,,,,,网络与信息安全,Network and Information Security,B,15,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAM会议关注网络和网络化系统的测量与分析，涵盖互联网、无线网络、云/边缘/数据中心测量、新兴架构、安全隐私、用户行为、虚拟化、传输层及可重复性研究等主题。；关键词：网络测量；数据分析；网络安全；用户行为；虚拟化；可重复性,https://pam2026.at/cfp/,The PAM conference brings together researchers and practitioners working on the measurement and analysis of networks and,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Selected Areas in Cryptography,网络与信息安全；Network and Information Security,SAC,,,,,,网络与信息安全,Network and Information Security,B,16,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:22:27+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Asia Conference on Computer and Communications Security,网络与信息安全；Network and Information Security,AsiaCCS,,,,,,网络与信息安全,Network and Information Security,B,17,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:22:33+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Conference on Security and Privacy in Wireless and Mobile Networks,网络与信息安全；Network and Information Security,WiSec,,,,,,网络与信息安全,Network and Information Security,B,18,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:22:38+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Applied Cryptography and Network Security,网络与信息安全；Network and Information Security,ACNS,,,,,,网络与信息安全,Network and Information Security,B,19,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACNS 2019涵盖应用密码学、网络安全与隐私保护，包括访问控制、密码协议、区块链、云安全、物联网安全、入侵检测、恶意软件、移动/无线/5G安全等主题，注重学术研究与工业技术前沿。；关键词：应用密码学；网络安全；隐私保护；区块链；云安全；物联网安全；入侵检测；密码协议；移动安全；5G安全,https://8ar.ch/acns19/cfp/,"The conference seeks submissions presenting novel research on all technical aspects of applied cryptography, cyber secur",high,ok,2026-07-30T12:22:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Workshop on Information Hiding and Multimedia Security,网络与信息安全；Network and Information Security,IH&MMSec,,,,,,网络与信息安全,Network and Information Security,B,20,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:00+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IFIP International Information Security Conference,网络与信息安全；Network and Information Security,SEC,,,,,,网络与信息安全,Network and Information Security,B,21,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:03+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE/IFIP Network Operations and Management Symposium,网络与信息安全；Network and Information Security,NOMS,,,,,,网络与信息安全,Network and Information Security,B,22,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:06+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,IEEE Transactions on Information Forensics and Security,网络与信息安全；Network and Information Security,TIFS,,,,,,网络与信息安全,Network and Information Security,A,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:10+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Journal of Cryptology,网络与信息安全；Network and Information Security,,,,,,,网络与信息安全,Network and Information Security,A,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:16+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,IEEE Transactions on Dependable and Secure Computing,网络与信息安全；Network and Information Security,TDSC,,,,,,网络与信息安全,Network and Information Security,A,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=8858,页面仅包含IEEE通用帮助和版权信息，无具体征稿范围,low,not_relevant,2026-07-30T12:23:24+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Computers & Security,网络与信息安全；Network and Information Security,,,,,,,网络与信息安全,Network and Information Security,B,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:27+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Journal of Computer Security,网络与信息安全；Network and Information Security,JCS,,,,,,网络与信息安全,Network and Information Security,B,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:32+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,ACM Transactions on Privacy and Security,网络与信息安全；Network and Information Security,TOPS,,,,,,网络与信息安全,Network and Information Security,B,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:37+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,密码学报,网络与信息安全；Network and Information Security,,,,,,,网络与信息安全,Network and Information Security,B,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:41+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Symposium on the Theory of Computing,理论计算机科学；Theoretical Computer Science,STOC,,,,,,理论计算机科学,Theoretical Computer Science,A,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOC征稿涵盖理论计算机科学所有核心领域，包括算法与数据结构、计算复杂性、随机性、密码学、量子计算、机器学习理论、计算经济学等，并鼓励拓展理论计算机科学边界的交叉研究。；关键词：算法与数据结构；计算复杂性；密码学；量子计算；机器学习理论；计算经济学；随机性；近似算法；计算几何；计算生物学,https://acm-stoc.org/stoc2026/STOC-2026-CFP.html,Papers presenting new and original research on the theory of computation are sought.,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE Annual Symposium on Foundations of Computer Science,理论计算机科学；Theoretical Computer Science,FOCS,,,,,,理论计算机科学,Theoretical Computer Science,A,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOCS征稿涵盖理论计算机科学广泛领域，包括算法、复杂性、密码学、量子计算、机器学习理论等，鼓励拓宽计算理论影响或提出重要问题的论文。；关键词：理论计算机科学；算法与数据结构；计算复杂性；密码学；量子计算；机器学习理论,https://sanjeevkhanna.org/FOCS2026_CFP.html,Papers presenting new and original research on theory of computation are sought.,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM-SIAM Symposium on Discrete Algorithms,理论计算机科学；Theoretical Computer Science,SODA,,,,,,理论计算机科学,Theoretical Computer Science,A,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:48+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Computer Aided Verification,理论计算机科学；Theoretical Computer Science,CAV,,,,,,理论计算机科学,Theoretical Computer Science,A,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAV致力于计算机辅助形式化分析方法在硬件与软件系统中的理论与实践的进步，涵盖从理论结果到具体应用的广泛范围，重点在于实用的验证工具及其实现所需的算法和技术，并扩展到机器学习、量子验证、自主系统和计算机安全等新领域。；关键词：形式化验证；模型检测；SAT/SMT；程序验证；硬件验证；并发系统验证；混合系统验证；抽象与组合技术；概率验证；形式化方法安全,http://conferences.i-cav.org/2026/cfp/,CAV 2026 is the 38th in a series dedicated to the advancement of the theory and practice of computer-aided formal analys,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE Symposium on Logic in Computer Science,理论计算机科学；Theoretical Computer Science,LICS,,,,,,理论计算机科学,Theoretical Computer Science,A,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:52+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE Conference on Computational Complexity,理论计算机科学；Theoretical Computer Science,CCC,,,,,,理论计算机科学,Theoretical Computer Science,A,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:23:58+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,"International Colloquium on Automata, Languages and Programming",理论计算机科学；Theoretical Computer Science,ICALP,,,,,,理论计算机科学,Theoretical Computer Science,A,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:05+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Theory and Applications of Satisfiability Testing,理论计算机科学；Theoretical Computer Science,SAT,,,,,,理论计算机科学,Theoretical Computer Science,B,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖命题可满足性理论及应用的所有方面，包括布尔优化、QBF、SMT、模型计数、约束规划等，涉及理论、算法、工具、应用及案例研究。；关键词：命题可满足性；布尔优化；QBF；SMT；模型计数；约束规划；算法；知识编译；应用,https://satisfiability.org/SAT26/pages/cfp.html,Scope SAT is the premier annual meeting for researchers focusing on the theory and applications of propositional satisfi,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,理论计算机科学；Theoretical Computer Science,CADE/IJCAR,,,,,,理论计算机科学,Theoretical Computer Science,B,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.call4papers.cn/details/conferences/9244.html,页面仅显示导航栏，无会议范围或征稿信息,low,not_relevant,2026-07-30T12:24:10+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Symposium on Computational Geometry,理论计算机科学；Theoretical Computer Science,SoCG,,,,,,理论计算机科学,Theoretical Computer Science,B,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:14+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Concurrency Theory,理论计算机科学；Theoretical Computer Science,CONCUR,,,,,,理论计算机科学,Theoretical Computer Science,B,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,并发理论国际会议，涵盖并发系统的基础模型、逻辑、验证分析技术、分布式并行算法与数据结构、理论工具及实证评估。；关键词：并发理论；模型检测；进程代数；Petri网；分布式算法；形式化验证,https://confest-2026.github.io/concur/call-for-papers,"CONCUR solicits high quality papers reporting research results and/or experience related to semantics, logics, verificat",high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Symposium on Theoretical Aspects of Computer Science,理论计算机科学；Theoretical Computer Science,STACS,,,,,,理论计算机科学,Theoretical Computer Science,B,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:16+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,European Symposium on Algorithms,理论计算机科学；Theoretical Computer Science,ESA,,,,,,理论计算机科学,Theoretical Computer Science,B,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:19+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Computer Science Logic,理论计算机科学；Theoretical Computer Science,CSL,,,,,,理论计算机科学,Theoretical Computer Science,B,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:25+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Formal Methods in Computer-Aided Design,理论计算机科学；Theoretical Computer Science,FMCAD,,,,,,理论计算机科学,Theoretical Computer Science,B,8,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FMCAD涵盖硬件与系统验证中形式化方法的理论与应用，包括模型检验、定理证明、等价性检查、抽象与约简、决策过程、综合与编译、形式语义、模型驱动设计、软硬件验证、安全关键系统、网络与分布式系统验证、AI系统形式验证及AI增强形式方法等。；关键词：形式化方法；硬件验证；系统验证；模型检验；定理证明；综合与编译；安全关键系统；AI验证,https://fmcad.org/FMCAD26/cfp/,FMCAD 2026 is the twenty-sixth edition in a series of conferences on the theory and applications of formal methods in ha,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Innovations in Theoretical Computer Science,理论计算机科学；Theoretical Computer Science,ITCS/ICS,,,,,,理论计算机科学,Theoretical Computer Science,B,9,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:31+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Scandinavian Symposium and Workshops on Algorithm Theory/ the Algorithms and Data Structures Symposium,理论计算机科学；Theoretical Computer Science,SWAT/WADS,,,,,,理论计算机科学,Theoretical Computer Science,B,10,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:37+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE International Symposium on Information Theory,理论计算机科学；Theoretical Computer Science,ISIT,,,,,,理论计算机科学,Theoretical Computer Science,B,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:43+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,SIAM Journal on Computing,理论计算机科学；Theoretical Computer Science,SICOMP,,,,,,理论计算机科学,Theoretical Computer Science,A,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:49+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,IEEE Transactions on Information Theory,理论计算机科学；Theoretical Computer Science,TIT,,,,,,理论计算机科学,Theoretical Computer Science,A,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:24:55+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,ACM Transactions on Algorithms,理论计算机科学；Theoretical Computer Science,TALG,,,,,,理论计算机科学,Theoretical Computer Science,A,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:01+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Information and Computation,理论计算机科学；Theoretical Computer Science,IANDC,,,,,,理论计算机科学,Theoretical Computer Science,A,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:07+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,ACM Transactions on Mathematical Software,理论计算机科学；Theoretical Computer Science,TOMS,,,,,,理论计算机科学,Theoretical Computer Science,B,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:14+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Journal of Computer and System Sciences,理论计算机科学；Theoretical Computer Science,JCSS,,,,,,理论计算机科学,Theoretical Computer Science,B,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:20+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Future Generation Computer Systems,理论计算机科学；Theoretical Computer Science,FGCS,,,,,,理论计算机科学,Theoretical Computer Science,B,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:26+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Algorithmica,理论计算机科学；Theoretical Computer Science,Algorithmica,,,,,,理论计算机科学,Theoretical Computer Science,B,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:32+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Computational complexity,理论计算机科学；Theoretical Computer Science,CC,,,,,,理论计算机科学,Theoretical Computer Science,B,5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:38+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,INFORMS Journal on Computing,理论计算机科学；Theoretical Computer Science,INFORMS,,,,,,理论计算机科学,Theoretical Computer Science,B,6,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:44+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,ACM Transactions on Computational Logic,理论计算机科学；Theoretical Computer Science,TOCL,,,,,,理论计算机科学,Theoretical Computer Science,B,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:50+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Journal of Grid Computing,理论计算机科学；Theoretical Computer Science,JGC,,,,,,理论计算机科学,Theoretical Computer Science,B,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:25:56+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,Formal Methods in System Design,理论计算机科学；Theoretical Computer Science,FMSD,,,,,,理论计算机科学,Theoretical Computer Science,B,9,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:26:02+00:00
